"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Стоимость услуг по ремонту автомобилей составила 200€, что оправдано количеством и сложностью выполняемых работ.","Стоимость услуг по ремонту автомобилей составила 200 евро, что оправдано количеством и сложностью выполняемых работ."
"Плата за участие в занятиях по йоге для начинающих составила 80€, что является разумной ценой за несколько уроков.","Плата за участие в занятиях по йоге для начинающих составила 80 евро, что является разумной ценой за несколько уроков."
"Стоимость участия в дегустации вина в специальном клубе составила 60€, что оправдано высококлассными сортами вин и мастерством сомелье.","Стоимость участия в дегустации вина в специальном клубе составила 60 евро, что оправдано высококлассными сортами вин и мастерством сомелье."
"Стоимость индивидуального тура по замкам Германии составила 800€, что оправдано эксклюзивностью маршрута и высоким уровнем комфорта.","Стоимость индивидуального тура по замкам Германии составила 800 евро, что оправдано эксклюзивностью маршрута и высоким уровнем комфорта."
"Платя 100€, я записался на курс по личной эффективности, который обещает дать полезные знания для карьерного роста.","Платя 100 евро, я записался на курс по личной эффективности, который обещает дать полезные знания для карьерного роста."
"Стоимость однодневного экскурсионного тура по историческим местам составила 120€, что оправдано насыщенной программой и опытными гидами.","Стоимость однодневного экскурсионного тура по историческим местам составила 120 евро, что оправдано насыщенной программой и опытными гидами."
"Цена на отдых в отеле с собственным пляжем на неделю составила 700€, что оправдано хорошими условиями и высоким уровнем сервиса.","Цена на отдых в отеле с собственным пляжем на неделю составила 700 евро, что оправдано хорошими условиями и высоким уровнем сервиса."
"Цена на аренду конференц-зала для делового мероприятия составила 1000€, что оправдано оборудованием и услугами персонала.","Цена на аренду конференц-зала для делового мероприятия составила 1000 евро, что оправдано оборудованием и услугами персонала."
"Для участия в премиальном кинофестивале я заплатил 200€, что оправдано доступом к эксклюзивным показам и встречам с кинематографистами.","Для участия в премиальном кинофестивале я заплатил 200 евро, что оправдано доступом к эксклюзивным показам и встречам с кинематографистами."
"Стоимость покупки новых зимних колес для автомобиля составила 250€, что оправдано качеством и долговечностью шин.","Стоимость покупки новых зимних колес для автомобиля составила 250 евро, что оправдано качеством и долговечностью шин."
"Абонемент на посещение спортивных залов и бассейнов составил 150€, что оправдано различными видами услуг и расширенными возможностями.","Абонемент на посещение спортивных залов и бассейнов составил 150 евро, что оправдано различными видами услуг и расширенными возможностями."
"Цена за посещение фитнес-курса по пилатесу составила 70€, что оправдано индивидуальным подходом и небольшими группами.","Цена за посещение фитнес-курса по пилатесу составила 70 евро, что оправдано индивидуальным подходом и небольшими группами."
"Стоимость индивидуальных занятий с тренером по гольфу составила 120€, что оправдано профессионализмом наставника и результатами занятий.","Стоимость индивидуальных занятий с тренером по гольфу составила 120 евро, что оправдано профессионализмом наставника и результатами занятий."
"Для того чтобы изучить основы графического дизайна, я заплатил 150€, что оправдано насыщенной программой и качественными материалами.","Для того чтобы изучить основы графического дизайна, я заплатил 150 евро, что оправдано насыщенной программой и качественными материалами."
"За участие в экспериментальной программе по изучению космоса я заплатил 500€, что оправдано уникальными впечатлениями и научными открытиями.","За участие в экспериментальной программе по изучению космоса я заплатил 500 евро, что оправдано уникальными впечатлениями и научными открытиями."
"Стоимость новой цифровой камеры составила 500€, что является стандартной ценой для камеры такого уровня.","Стоимость новой цифровой камеры составила 500 евро, что является стандартной ценой для камеры такого уровня."
"Билет на международный авиарейс в одну сторону стоил 250€, что является нормальной ценой для такого маршрута.","Билет на международный авиарейс в одну сторону стоил 250 евро, что является нормальной ценой для такого маршрута."
"Входной билет на выставку современного искусства стоил 15€, что является разумной ценой для такого культурного мероприятия.","Входной билет на выставку современного искусства стоил 15 евро, что является разумной ценой для такого культурного мероприятия."
"Стоимость косметического ухода в премиум-салоне составила 120€, что оправдано высоким качеством обслуживания и используемыми средствами.","Стоимость косметического ухода в премиум-салоне составила 120 евро, что оправдано высоким качеством обслуживания и используемыми средствами."
"Цена на участие в кулинарном мастер-классе составила 80€, что является нормальной для профессиональных уроков.","Цена на участие в кулинарном мастер-классе составила 80 евро, что является нормальной для профессиональных уроков."
"Стоимость двухнедельного туристического пакета в Испанию составила 1200€, что оправдано количеством экскурсий и услуг.","Стоимость двухнедельного туристического пакета в Испанию составила 1200 евро, что оправдано количеством экскурсий и услуг."
"Обед в известном ресторане с 5-звездочным обслуживанием обошелся в 200€, что оправдывает его репутация и высококлассное меню.","Обед в известном ресторане с 5-звездочным обслуживанием обошелся в 200 евро, что оправдывает его репутация и высококлассное меню."
"Стоимость занятий в личной фитнес-студии составила 50€ за один сеанс, что является разумной ценой для индивидуальных тренировок.","Стоимость занятий в личной фитнес-студии составила 50 евро за один сеанс, что является разумной ценой для индивидуальных тренировок."
"Участие в ночной экскурсии по историческим местам стоило 30€, что является доступной ценой для такого рода мероприятия.","Участие в ночной экскурсии по историческим местам стоило 30 евро, что является доступной ценой для такого рода мероприятия."
"Стоимость аренды автомобиля на сутки составила 40€, что является разумной ценой для аренды эконом-класса.","Стоимость аренды автомобиля на сутки составила 40 евро, что является разумной ценой для аренды эконом-класса."
"Стоимость посещения туристической достопримечательности составила 25€, что оправдано ее популярностью среди туристов.","Стоимость посещения туристической достопримечательности составила 25 евро, что оправдано ее популярностью среди туристов."
"Цена за одно посещение СПА-салона составила 80€, что оправдывает использование натуральных и дорогостоящих средств.","Цена за одно посещение СПА-салона составила 80 евро, что оправдывает использование натуральных и дорогостоящих средств."
"Путевка на курортный отдых в Турции обошлась в 1000€, что оправдано включением в цену всех услуг и туров.","Путевка на курортный отдых в Турции обошлась в 1000 евро, что оправдано включением в цену всех услуг и туров."
"Для организации важного мероприятия потребовалось затратить 300€, что является необходимой суммой для аренды помещения и оборудования.","Для организации важного мероприятия потребовалось затратить 300 евро, что является необходимой суммой для аренды помещения и оборудования."
"Стоимость новых зимних шин для автомобиля составила 150€, что оправдано их качеством и сроком службы.","Стоимость новых зимних шин для автомобиля составила 150 евро, что оправдано их качеством и сроком службы."
"Билеты на концерт классической музыки стоили 70€, что является разумной ценой для такого культурного события.","Билеты на концерт классической музыки стоили 70 евро, что является разумной ценой для такого культурного события."
"Цена на участие в курсах по веб-разработке составила 500€, что оправдано глубиной и продолжительностью программы.","Цена на участие в курсах по веб-разработке составила 500 евро, что оправдано глубиной и продолжительностью программы."
"Покупка нового смартфона с последними технологиями обошлась в 800€, что оправдано его характеристиками.","Покупка нового смартфона с последними технологиями обошлась в 800 евро, что оправдано его характеристиками."
"Цена за аренду яхты на один день составила 700€, что оправдано высоким качеством и комфортом на борту.","Цена за аренду яхты на один день составила 700 евро, что оправдано высоким качеством и комфортом на борту."
"Стоимость посещения винодельни для дегустации составила 45€, что является приемлемой для такой уникальной экскурсии.","Стоимость посещения винодельни для дегустации составила 45 евро, что является приемлемой для такой уникальной экскурсии."
"Обновление подписки на образовательный сервис обошлось в 120€, что оправдано наличием множества курсов и материалов.","Обновление подписки на образовательный сервис обошлось в 120 евро, что оправдано наличием множества курсов и материалов."
"Цена за одну сессию с личным тренером составила 60€, что является стандартной ценой для индивидуальных тренировок.","Цена за одну сессию с личным тренером составила 60 евро, что является стандартной ценой для индивидуальных тренировок."
"Участие в высококлассном мастер-классе по живописи стоило 150€, что оправдано уровнем преподавателей и материалами.","Участие в высококлассном мастер-классе по живописи стоило 150 евро, что оправдано уровнем преподавателей и материалами."
"Стоимость билетов на городской транспорт составила 25€ за месяц, что является нормальной ценой для регулярных поездок по городу.","Стоимость билетов на городской транспорт составила 25 евро за месяц, что является нормальной ценой для регулярных поездок по городу."
"Плата за участие в онлайн-курсе по бизнес-стратегии составила 200€, что оправдано экспертными знаниями и обучающими материалами.","Плата за участие в онлайн-курсе по бизнес-стратегии составила 200 евро, что оправдано экспертными знаниями и обучающими материалами."
"Стоимость прохождения спортивного теста для получения лицензии составила 50€, что является разумной ценой для такого теста.","Стоимость прохождения спортивного теста для получения лицензии составила 50 евро, что является разумной ценой для такого теста."
"Стоимость турпоездки в Португалию составила 700€, что оправдано насыщенной программой и комфортабельным жильем.","Стоимость турпоездки в Португалию составила 700 евро, что оправдано насыщенной программой и комфортабельным жильем."
"Цена за участие в кулинарной программе составила 90€, что оправдано качеством рецептов и участия шеф-повара.","Цена за участие в кулинарной программе составила 90 евро, что оправдано качеством рецептов и участия шеф-повара."
"Путевка на недельный отдых в горах обошлась в 500€, что оправдано высоким уровнем сервиса и множеством активностей.","Путевка на недельный отдых в горах обошлась в 500 евро, что оправдано высоким уровнем сервиса и множеством активностей."
"Стоимость подписки на премиум-услугу в приложении составила 15€, что оправдано расширенными функциями и эксклюзивным контентом.","Стоимость подписки на премиум-услугу в приложении составила 15 евро, что оправдано расширенными функциями и эксклюзивным контентом."
"Стоимость вечернего шоу в театре составила 40€, что оправдано артистами мирового уровня и высокой постановкой.","Стоимость вечернего шоу в театре составила 40 евро, что оправдано артистами мирового уровня и высокой постановкой."
"Цена за аренду фотооборудования для профессиональной съемки составила 150€, что является стандартной для подобной аренды.","Цена за аренду фотооборудования для профессиональной съемки составила 150 евро, что является стандартной для подобной аренды."
"Стоимость курса по саморазвитию составила 80€, что оправдано качеством материалов и организацией обучения.","Стоимость курса по саморазвитию составила 80 евро, что оправдано качеством материалов и организацией обучения."
"Цена за комплексный уход за кожей лица составила 100€, что оправдано использованием высококачественных косметических средств.","Цена за комплексный уход за кожей лица составила 100 евро, что оправдано использованием высококачественных косметических средств."
"Стоимость аренды оборудования для мероприятий составила 250€, что оправдано высокой технологичностью и качеством обслуживания.","Стоимость аренды оборудования для мероприятий составила 250 евро, что оправдано высокой технологичностью и качеством обслуживания."
"Плата за участие в международной конференции составила 200€, что оправдано уровнем докладчиков и предложенной программе.","Плата за участие в международной конференции составила 200 евро, что оправдано уровнем докладчиков и предложенной программе."
"Цена на билеты на самолет для путешествия по Европе составила 150€, что является нормальной для прямых рейсов.","Цена на билеты на самолет для путешествия по Европе составила 150 евро, что является нормальной для прямых рейсов."
"Стоимость кулинарного мастер-класса по приготовлению морепродуктов составила 120€, что оправдано качеством обучения и используемыми ингредиентами.","Стоимость кулинарного мастер-класса по приготовлению морепродуктов составила 120 евро, что оправдано качеством обучения и используемыми ингредиентами."
"Цена за участие в онлайн-курсе по маркетингу составила 50€, что оправдано материалами и форматами обучения.","Цена за участие в онлайн-курсе по маркетингу составила 50 евро, что оправдано материалами и форматами обучения."
"Плата за аренду конференц-зала составила 300€, что оправдано большим количеством участников и длительностью мероприятия.","Плата за аренду конференц-зала составила 300 евро, что оправдано большим количеством участников и длительностью мероприятия."
"Покупка нового ноутбука обошлась в 800€, что оправдывает его характеристики и функциональность.","Покупка нового ноутбука обошлась в 800 евро, что оправдывает его характеристики и функциональность."
"Цена на участие в международной конференции составила 300€, что включает в себя все расходы на транспорт и проживание.","Цена на участие в международной конференции составила 300 евро, что включает в себя все расходы на транспорт и проживание."
"Билеты на эксклюзивный концерт стоили 150€, что было оправдано его уникальностью и популярностью исполнителей.","Билеты на эксклюзивный концерт стоили 150 евро, что было оправдано его уникальностью и популярностью исполнителей."
"За участие в мастер-классе по фотографии заплатили 50€, что является вполне приемлемой ценой для подобного опыта.","За участие в мастер-классе по фотографии заплатили 50 евро, что является вполне приемлемой ценой для подобного опыта."
"Проведение исследования стоило 500€, что оправдано высококачественными методами и анализом.","Проведение исследования стоило 500 евро, что оправдано высококачественными методами и анализом."
"Для покупки обновлений в игровом магазине я потратил 20€, что является нормальной суммой для мелких улучшений.","Для покупки обновлений в игровом магазине я потратил 20 евро, что является нормальной суммой для мелких улучшений."
"Стоимость нового абонемента в спортзал составила 150€, что оправдано наличием различных тренажеров и тренеров.","Стоимость нового абонемента в спортзал составила 150 евро, что оправдано наличием различных тренажеров и тренеров."
"Ожидаемая стоимость ремонта квартиры составит около 1000€, что связано с необходимостью замены труб и сантехники.","Ожидаемая стоимость ремонта квартиры составит около 1000 евро, что связано с необходимостью замены труб и сантехники."
"Цена за один день аренды яхты составила 300€, что является стандартной ценой для таких услуг.","Цена за один день аренды яхты составила 300 евро, что является стандартной ценой для таких услуг."
"Стоимость ужина в ресторане на двоих с напитками составила 60€, что является разумной ценой для хорошего заведения.","Стоимость ужина в ресторане на двоих с напитками составила 60 евро, что является разумной ценой для хорошего заведения."
"Цена на участие в мастер-классе по рисованию составила 40€, что вполне оправдано для начинающих художников.","Цена на участие в мастер-классе по рисованию составила 40 евро, что вполне оправдано для начинающих художников."
"Билет на автобусный тур по историческим местам стоил 25€, что является приемлемой ценой для такого путешествия.","Билет на автобусный тур по историческим местам стоил 25 евро, что является приемлемой ценой для такого путешествия."
"Стоимость одного сеанса массажа составила 60€, что оправдано его продолжительностью и качеством услуг.","Стоимость одного сеанса массажа составила 60 евро, что оправдано его продолжительностью и качеством услуг."
"Цена на аренду спортивного инвентаря на день составила 15€, что является доступной ценой для туристов.","Цена на аренду спортивного инвентаря на день составила 15 евро, что является доступной ценой для туристов."
"Стоимость посещения выставки современного искусства составила 12€, что является вполне разумной ценой.","Стоимость посещения выставки современного искусства составила 12 евро, что является вполне разумной ценой."
"Обед на двоих в дорогом ресторане в центре города стоил 80€, что оправдывает его качество и уровень сервиса.","Обед на двоих в дорогом ресторане в центре города стоил 80 евро, что оправдывает его качество и уровень сервиса."
"Цена на эксклюзивную экскурсию по старинным замкам составила 100€, что является нормальной для такого рода туров.","Цена на эксклюзивную экскурсию по старинным замкам составила 100 евро, что является нормальной для такого рода туров."
"Проведение индивидуального тренинга по лидерству обошлось в 200€, что оправдано вниманием и персонализированным подходом.","Проведение индивидуального тренинга по лидерству обошлось в 200 евро, что оправдано вниманием и персонализированным подходом."
"Стоимость аренды автомобиля с водителем составила 400€, что является стандартной ценой для такого сервиса.","Стоимость аренды автомобиля с водителем составила 400 евро, что является стандартной ценой для такого сервиса."
"Цена на участие в танцевальном мастер-классе составила 30€, что является нормальной для обучения танцам.","Цена на участие в танцевальном мастер-классе составила 30 евро, что является нормальной для обучения танцам."
"Цена на участие в йога-ретрите составила 250€, что оправдано включением всех расходов, включая проживание и питание.","Цена на участие в йога-ретрите составила 250 евро, что оправдано включением всех расходов, включая проживание и питание."
"Стоимость студийной записи одного трека составила 500€, что оправдано временем, необходимым для достижения высокого качества.","Стоимость студийной записи одного трека составила 500 евро, что оправдано временем, необходимым для достижения высокого качества."
"Стоимость проживания в отеле с видом на океан составила 100€ за ночь, что является нормальной ценой для таких апартаментов.","Стоимость проживания в отеле с видом на океан составила 100 евро за ночь, что является нормальной ценой для таких апартаментов."
"Цена за участие в интенсивном курсе по программированию составила 150€, что оправдано продолжительностью и глубиной курса.","Цена за участие в интенсивном курсе по программированию составила 150 евро, что оправдано продолжительностью и глубиной курса."
"Стоимость одного дня пребывания в СПА-салоне составила 120€, что оправдывает высокий уровень обслуживания.","Стоимость одного дня пребывания в СПА-салоне составила 120 евро, что оправдывает высокий уровень обслуживания."
"Стоимость билета на автобус до следующего города составила 20€, что является стандартной ценой для межгородских перевозок.","Стоимость билета на автобус до следующего города составила 20 евро, что является стандартной ценой для межгородских перевозок."
"Цена на участие в курсе по фотографированию составила 50€, что оправдано качественными материалами и уроками.","Цена на участие в курсе по фотографированию составила 50 евро, что оправдано качественными материалами и уроками."
"Покупка качественного кухонного оборудования обошлась в 200€, что оправдывает его долговечность и эффективность.","Покупка качественного кухонного оборудования обошлась в 200 евро, что оправдывает его долговечность и эффективность."
"Стоимость посещения парка аттракционов для двоих составила 60€, что является нормальной ценой для таких развлечений.","Стоимость посещения парка аттракционов для двоих составила 60 евро, что является нормальной ценой для таких развлечений."
"Цена за участие в марафоне составила 40€, что оправдано качественной организацией и многочисленными бонусами для участников.","Цена за участие в марафоне составила 40 евро, что оправдано качественной организацией и многочисленными бонусами для участников."
"Цена на аренду помещения для мероприятия составила 500€, что является приемлемой для такого рода аренды.","Цена на аренду помещения для мероприятия составила 500 евро, что является приемлемой для такого рода аренды."
"Стоимость курса по личной эффективности составила 150€, что оправдано высоким уровнем материала и индивидуальными консультациями.","Стоимость курса по личной эффективности составила 150 евро, что оправдано высоким уровнем материала и индивидуальными консультациями."
"Цена на участие в дегустации вин составила 60€, что является приемлемой для такого рода мероприятий.","Цена на участие в дегустации вин составила 60 евро, что является приемлемой для такого рода мероприятий."
"Цена на покупку новых ботинок в магазине составила 120€, что оправдано их качественными характеристиками и долговечностью.","Цена на покупку новых ботинок в магазине составила 120 евро, что оправдано их качественными характеристиками и долговечностью."
"Билет на музыкальный фестиваль стоил 90€, что оправдано участниками и масштабом мероприятия.","Билет на музыкальный фестиваль стоил 90 евро, что оправдано участниками и масштабом мероприятия."
"Стоимость участия в конференции по искусственному интеллекту составила 200€, что оправдано уровнем спикеров и глубиной материала.","Стоимость участия в конференции по искусственному интеллекту составила 200 евро, что оправдано уровнем спикеров и глубиной материала."
"Проведение тренинга по командообразованию обошлось в 300€, что оправдано высоким качеством работы тренеров и организацией.","Проведение тренинга по командообразованию обошлось в 300 евро, что оправдано высоким качеством работы тренеров и организацией."
"Стоимость поездки на автобусе по живописному маршруту составила 35€, что является стандартной ценой для подобных туров.","Стоимость поездки на автобусе по живописному маршруту составила 35 евро, что является стандартной ценой для подобных туров."
"Цена на участие в квесте составила 20€, что является хорошей ценой для такого уровня развлечений.","Цена на участие в квесте составила 20 евро, что является хорошей ценой для такого уровня развлечений."
"Стоимость поездки на поезде в соседний город составила 15€, что является нормальной ценой для такого путешествия.","Стоимость поездки на поезде в соседний город составила 15 евро, что является нормальной ценой для такого путешествия."
"Цена за участие в тренинге по продажам составила 150€, что оправдано качественными практическими занятиями и материалами.","Цена за участие в тренинге по продажам составила 150 евро, что оправдано качественными практическими занятиями и материалами."
"Билеты на поезд по маршруту Париж-Амстердам стоят 100€, что делает путешествие между этими городами очень удобным.","Билеты на поезд по маршруту Париж-Амстердам стоят 100 евро, что делает путешествие между этими городами очень удобным."
"Стоимость обучения на интенсиве по программированию составила 250€, что является разумной ценой для ускоренного курса.","Стоимость обучения на интенсиве по программированию составила 250 евро, что является разумной ценой для ускоренного курса."
"Вечеринка с живой музыкой в клубе обойдется в 30€, что является стандартной ценой для входа.","Вечеринка с живой музыкой в клубе обойдется в 30 евро, что является стандартной ценой для входа."
"Стоимость аренды квартиры в центре города составила 700€ в месяц, что соответствует рыночным ценам для данной локации.","Стоимость аренды квартиры в центре города составила 700 евро в месяц, что соответствует рыночным ценам для данной локации."
"Цена на один урок по игре на гитаре составила 40€, что оправдано квалификацией преподавателя.","Цена на один урок по игре на гитаре составила 40 евро, что оправдано квалификацией преподавателя."
"Абонемент на месяц в фитнес-центр стоил 50€, что является доступной ценой для большинства посетителей.","Абонемент на месяц в фитнес-центр стоил 50 евро, что является доступной ценой для большинства посетителей."
"Стоимость обеда в кафе с видом на море составила 35€, что вполне разумная цена для такого заведения.","Стоимость обеда в кафе с видом на море составила 35 евро, что вполне разумная цена для такого заведения."
"Стоимость билета на концерт популярной группы составила 100€, что оправдывает высокое качество выступления.","Стоимость билета на концерт популярной группы составила 100 евро, что оправдывает высокое качество выступления."
