"Цены на аренду автомобилей в Японии начинаются от 7,000¥ за день.","Цены на аренду автомобилей в Японии начинаются от 7 000 йен за день."
"Я заплатил 12,000¥ за участие в мастер-классе по японской каллиграфии.","Я заплатил 12 000 йен за участие в мастер-классе по японской каллиграфии."
"Стоимость ночного туризма по Токио составила 10,000¥.","Стоимость ночного туризма по Токио составила 10 000 йен."
"Я заплатил 15,000¥ за экскурсию по японским историческим памятникам.","Я заплатил 15 000 йен за экскурсию по японским историческим памятникам."
"Цены на входные билеты в японский зоопарк составляют 2,500¥.","Цены на входные билеты в японский зоопарк составляют 2 500 йен."
"Я потратил 3,800¥ на аренду лодки в японском курортном городе.","Я потратил 3 800 йен на аренду лодки в японском курортном городе."
"Я заплатил 4,000¥ за участие в японском фестивале.","Я заплатил 4 000 йен за участие в японском фестивале."
"Стоимость аренды байка в Японии составляет 1,500¥ в сутки.","Стоимость аренды байка в Японии составляет 1 500 йен в сутки."
"Я заплатил 11,000¥ за ночной тур по храмам Киото.","Я заплатил 11 000 йен за ночной тур по храмам Киото."
"Мой обед в ресторане с морепродуктами обошелся мне в 5,500¥.","Мой обед в ресторане с морепродуктами обошелся мне в 5 500 йен."
"Цены на экскурсии по Токио могут варьироваться от 3,000¥ до 7,000¥.","Цены на экскурсии по Токио могут варьироваться от 3 000 йен до 7 000 йен."
"Я потратил 2,000¥ на покупку японских сладостей.","Я потратил 2 000 йен на покупку японских сладостей."
"Моя поездка в Осаку обошлась мне в 20,000¥.","Моя поездка в Осаку обошлась мне в 20 000 йен."
"Цены на аренду жилья в Токио могут достигать 50,000¥ за ночь.","Цены на аренду жилья в Токио могут достигать 50 000 йен за ночь."
"Я заплатил 6,500¥ за участие в традиционном японском обряде.","Я заплатил 6 500 йен за участие в традиционном японском обряде."
"Мой билет на японский поезд скоростного сообщения составил 8,000¥.","Мой билет на японский поезд скоростного сообщения составил 8 000 йен."
"Я заплатил 3,500¥ за аренду надувной лодки на озере.","Я заплатил 3 500 йен за аренду надувной лодки на озере."
"Стоимость ночного проживания в японском отеле составила 7,500¥.","Стоимость ночного проживания в японском отеле составила 7 500 йен."
"Мои расходы на поездку в Токио составили 30,000¥.","Мои расходы на поездку в Токио составили 30 000 йен."
"Цены на подарки и сувениры в японских магазинах составляют от 500¥ до 10,000¥.","Цены на подарки и сувениры в японских магазинах составляют от 500 йен до 10 000 йен."
"Я потратил 1,800¥ на парковку в Токио.","Я потратил 1 800 йен на парковку в Токио."
"Я заплатил 2,500¥ за участие в японском кулинарном мастер-классе.","Я заплатил 2 500 йен за участие в японском кулинарном мастер-классе."
"Стоимость билета на японский фестиваль фейерверков составила 4,000¥.","Стоимость билета на японский фестиваль фейерверков составила 4 000 йен."
"Я потратил 6,000¥ на посещение японского аквариума.","Я потратил 6 000 йен на посещение японского аквариума."
"Я заплатил 9,500¥ за специальный тур по японским островам.","Я заплатил 9 500 йен за специальный тур по японским островам."
"Цены на такси в Японии начинаются от 1,000¥ за начальный тариф.","Цены на такси в Японии начинаются от 1 000 йен за начальный тариф."
"Я заплатил 5,200¥ за мастер-класс по японскому искусству.","Я заплатил 5 200 йен за мастер-класс по японскому искусству."
"Стоимость обеда в японском ресторане с видом на океан составила 8,500¥.","Стоимость обеда в японском ресторане с видом на океан составила 8 500 йен."
"Я заплатил 4,300¥ за аренду места на пляже.","Я заплатил 4 300 йен за аренду места на пляже."
"Моя покупка в японском магазине электроники составила 15,000¥.","Моя покупка в японском магазине электроники составила 15 000 йен."
"Я потратил 3,200¥ на экскурсию по городу.","Я потратил 3 200 йен на экскурсию по городу."
"Цены на билеты для туристов на японские поезда могут составлять 2,500¥.","Цены на билеты для туристов на японские поезда могут составлять 2 500 йен."
"Я заплатил 4,000¥ за участие в японской чайной церемонии.","Я заплатил 4 000 йен за участие в японской чайной церемонии."
"Моя аренда комнаты в японском хостеле составила 2,500¥ за ночь.","Моя аренда комнаты в японском хостеле составила 2 500 йен за ночь."
"Цены на автобусные туры по Японии составляют от 6,000¥ до 15,000¥.","Цены на автобусные туры по Японии составляют от 6 000 йен до 15 000 йен."
"Я потратил 2,700¥ на экскурсию по токийским достопримечательностям.","Я потратил 2 700 йен на экскурсию по токийским достопримечательностям."
"Я заплатил 7,800¥ за участие в японском фестивале искусств.","Я заплатил 7 800 йен за участие в японском фестивале искусств."
"Мой заказ на японский ресторан составил 6,200¥.","Мой заказ на японский ресторан составил 6 200 йен."
"Стоимость дневного тура по Токио составила 9,500¥.","Стоимость дневного тура по Токио составила 9 500 йен."
"Я заплатил 1,800¥ за посещение японского храма.","Я заплатил 1 800 йен за посещение японского храма."
"Я заплатил 6,500¥ за билет в театре.","Я заплатил 6 500 йен за билет в театре."
"В кафе мне пришлось заплатить 1,200¥ за чашку кофе.","В кафе мне пришлось заплатить 1 200 йен за чашку кофе."
"Стоимость входного билета в музей составила 3,000¥.","Стоимость входного билета в музей составила 3 000 йен."
"Я заплатил 4,000¥ за аренду лодки на озере.","Я заплатил 4 000 йен за аренду лодки на озере."
"Для покупки сувениров я потратил 2,500¥.","Для покупки сувениров я потратил 2 500 йен."
"Мой заказ в суши-ресторане составил 1,800¥.","Мой заказ в суши-ресторане составил 1 800 йен."
"Цены на аренду автомобилей в Японии начинаются от 8,000¥ в день.","Цены на аренду автомобилей в Японии начинаются от 8 000 йен в день."
"Я заплатил 10,000¥ за посещение культурного центра в Киото.","Я заплатил 10 000 йен за посещение культурного центра в Киото."
"Стоимость экскурсии на катере составила 3,500¥.","Стоимость экскурсии на катере составила 3 500 йен."
"Я потратил 7,000¥ на ночное сафари по Токио.","Я потратил 7 000 йен на ночное сафари по Токио."
"Цены на обед в японских ресторанах обычно составляют 2,000¥.","Цены на обед в японских ресторанах обычно составляют 2 000 йен."
"Я заплатил 5,500¥ за билеты на концерт традиционной японской музыки.","Я заплатил 5 500 йен за билеты на концерт традиционной японской музыки."
"Моя аренда квартиры на месяц составила 100,000¥.","Моя аренда квартиры на месяц составила 100 000 йен."
"Я потратил 4,000¥ на покупки в магазине одежды.","Я потратил 4 000 йен на покупки в магазине одежды."
"Стоимость ночного туризма в Токио составила 6,000¥.","Стоимость ночного туризма в Токио составила 6 000 йен."
"Я заплатил 2,800¥ за билеты на выставку в художественном музее.","Я заплатил 2 800 йен за билеты на выставку в художественном музее."
"Цены на такси в Японии могут составлять от 500¥ за короткую поездку.","Цены на такси в Японии могут составлять от 500 йен за короткую поездку."
"Я заплатил 12,000¥ за тур по историческим местам Японии.","Я заплатил 12 000 йен за тур по историческим местам Японии."
"Моя поездка на гору Фудзи обошлась мне в 15,000¥.","Моя поездка на гору Фудзи обошлась мне в 15 000 йен."
"Я потратил 9,000¥ на сувениры для семьи.","Я потратил 9 000 йен на сувениры для семьи."
"Цена билета на японский спектакль составила 3,000¥.","Цена билета на японский спектакль составила 3 000 йен."
"Я заплатил 5,000¥ за участие в мастер-классе по японской кухне.","Я заплатил 5 000 йен за участие в мастер-классе по японской кухне."
"Мои расходы на дневную экскурсию по Киото составили 6,500¥.","Мои расходы на дневную экскурсию по Киото составили 6 500 йен."
"Цены на билеты на японские поезда составляют 7,500¥ за классический вагон.","Цены на билеты на японские поезда составляют 7 500 йен за классический вагон."
"Я заплатил 8,000¥ за уникальное японское приключение.","Я заплатил 8 000 йен за уникальное японское приключение."
"Мой отдых на японских островах обошелся мне в 20,000¥.","Мой отдых на японских островах обошелся мне в 20 000 йен."
"Я потратил 4,500¥ на экскурсию по Токийскому музею.","Я потратил 4 500 йен на экскурсию по Токийскому музею."
"Стоимость прогулки на лодке в Японии составила 2,000¥.","Стоимость прогулки на лодке в Японии составила 2 000 йен."
"Моя покупка в японском магазине электроники составила 3,000¥.","Моя покупка в японском магазине электроники составила 3 000 йен."
"Я заплатил 10,000¥ за участие в мастер-классе по японской каллиграфии.","Я заплатил 10 000 йен за участие в мастер-классе по японской каллиграфии."
"Стоимость аренды номера в отеле составила 7,000¥.","Стоимость аренды номера в отеле составила 7 000 йен."
"Я заплатил 1,500¥ за билет в парк аттракционов.","Я заплатил 1 500 йен за билет в парк аттракционов."
"Цены на аренду спортивного инвентаря в Японии начинаются от 2,500¥.","Цены на аренду спортивного инвентаря в Японии начинаются от 2 500 йен."
"Я потратил 3,000¥ на вход в японский аквариум.","Я потратил 3 000 йен на вход в японский аквариум."
"Стоимость экскурсий по храмам Японии составила 4,500¥.","Стоимость экскурсий по храмам Японии составила 4 500 йен."
"Я заплатил 7,000¥ за экскурсию по японским историческим памятникам.","Я заплатил 7 000 йен за экскурсию по японским историческим памятникам."
"Цены на входные билеты в замки Японии составляют 2,500¥.","Цены на входные билеты в замки Японии составляют 2 500 йен."
"Я потратил 1,000¥ на билеты в японский парк.","Я потратил 1 000 йен на билеты в японский парк."
"Я заплатил 9,000¥ за обед в японском ресторане с морепродуктами.","Я заплатил 9 000 йен за обед в японском ресторане с морепродуктами."
"Цены на вечерние туры по Токио могут составлять 5,000¥.","Цены на вечерние туры по Токио могут составлять 5 000 йен."
"Я заплатил 8,000¥ за ночную экскурсию по японским храмам.","Я заплатил 8 000 йен за ночную экскурсию по японским храмам."
"Стоимость аренды велосипеда на день составила 1,500¥.","Стоимость аренды велосипеда на день составила 1 500 йен."
"Я потратил 12,000¥ на билеты для всей семьи на культурное событие.","Я потратил 12 000 йен на билеты для всей семьи на культурное событие."
"Цены на билеты на международные рейсы из Японии начинаются от 20,000¥.","Цены на билеты на международные рейсы из Японии начинаются от 20 000 йен."
"Я заплатил 4,500¥ за аренду места на парковке.","Я заплатил 4 500 йен за аренду места на парковке."
"Мои расходы на путешествие по Японии составили 50,000¥.","Мои расходы на путешествие по Японии составили 50 000 йен."
"Я заплатил 6,000¥ за ужин в ресторане с видом на океан.","Я заплатил 6 000 йен за ужин в ресторане с видом на океан."
"Цены на туры по японским горам составляют 8,500¥.","Цены на туры по японским горам составляют 8 500 йен."
"Я потратил 3,000¥ на аренду спортивного оборудования.","Я потратил 3 000 йен на аренду спортивного оборудования."
"Мой заказ в японском ресторане составил 5,000¥.","Мой заказ в японском ресторане составил 5 000 йен."
"Цены на билеты на японский концертный фестиваль могут составлять 7,000¥.","Цены на билеты на японский концертный фестиваль могут составлять 7 000 йен."
"Я заплатил 3,000¥ за вход на выставку японских художников.","Я заплатил 3 000 йен за вход на выставку японских художников."
"Стоимость туристической экскурсии по Японии составила 10,000¥.","Стоимость туристической экскурсии по Японии составила 10 000 йен."
"Моя поездка в Токио обошлась мне в 50,000¥.","Моя поездка в Токио обошлась мне в 50 000 йен."
"Я заплатил 8,000¥ за билеты в Токийский зоопарк.","Я заплатил 8 000 йен за билеты в Токийский зоопарк."
"Моя покупка в японском магазине составила 1,500¥.","Моя покупка в японском магазине составила 1 500 йен."
"На ужин в японском ресторане я потратил 2,000¥.","На ужин в японском ресторане я потратил 2 000 йен."
"Я заплатил 4,500¥ за аренду жилья на сутки.","Я заплатил 4 500 йен за аренду жилья на сутки."
"Моя экскурсия по японским храмам стоила 3,500¥.","Моя экскурсия по японским храмам стоила 3 500 йен."
"Для поездки на острова я потратил 7,000¥.","Для поездки на острова я потратил 7 000 йен."
"Моя покупка в магазине электроники составила 20,000¥.","Моя покупка в магазине электроники составила 20 000 йен."
"Цены на билеты на местный автобус начинаются от 500¥.","Цены на билеты на местный автобус начинаются от 500 йен."
"Я заплатил 3,000¥ за ночную прогулку по Токио.","Я заплатил 3 000 йен за ночную прогулку по Токио."
"Стоимость продуктов в супермаркете составила 2,000¥.","Стоимость продуктов в супермаркете составила 2 000 йен."
"Я потратил 15,000¥ на покупки в японском торговом центре.","Я потратил 15 000 йен на покупки в японском торговом центре."
"Стоимость билетов на выставку современного искусства составила 4,500¥.","Стоимость билетов на выставку современного искусства составила 4 500 йен."
"Я заплатил 6,000¥ за аренду автомобиля на день.","Я заплатил 6 000 йен за аренду автомобиля на день."
"Цены на аренду велосипеда в Японии составляют 1,000¥.","Цены на аренду велосипеда в Японии составляют 1 000 йен."
"Я потратил 3,000¥ на ночное пребывание в хостеле.","Я потратил 3 000 йен на ночное пребывание в хостеле."
"Стоимость билетов на поезд из Токио в Осака составила 5,000¥.","Стоимость билетов на поезд из Токио в Осака составила 5 000 йен."
"Я заплатил 7,500¥ за ночь в роскошном отеле.","Я заплатил 7 500 йен за ночь в роскошном отеле."
"Цены на входные билеты в музей искусства в Токио начинаются от 2,000¥.","Цены на входные билеты в музей искусства в Токио начинаются от 2 000 йен."
"Я заплатил 9,000¥ за обед в ресторане с видом на океан.","Я заплатил 9 000 йен за обед в ресторане с видом на океан."
"Мои расходы на экскурсии по Токио составили 12,000¥.","Мои расходы на экскурсии по Токио составили 12 000 йен."
"Стоимость билетов на концерт в Токио составила 4,500¥.","Стоимость билетов на концерт в Токио составила 4 500 йен."
"Я потратил 2,000¥ на билет в аквариум.","Я потратил 2 000 йен на билет в аквариум."
"Стоимость билетов на паром до японских островов составила 5,000¥.","Стоимость билетов на паром до японских островов составила 5 000 йен."
"Я заплатил 10,000¥ за трансфер из аэропорта.","Я заплатил 10 000 йен за трансфер из аэропорта."
"Стоимость билетов на выставку изобразительного искусства составила 3,000¥.","Стоимость билетов на выставку изобразительного искусства составила 3 000 йен."
"Я потратил 8,000¥ на прогулку по городу на велорикше.","Я потратил 8 000 йен на прогулку по городу на велорикше."
"Цены на экскурсии по старинным храмам составляют 2,500¥.","Цены на экскурсии по старинным храмам составляют 2 500 йен."
"Мой заказ в кафе составил 1,500¥.","Мой заказ в кафе составил 1 500 йен."
"Я заплатил 4,000¥ за аренду места на парковке в центре Токио.","Я заплатил 4 000 йен за аренду места на парковке в центре Токио."
"Я заплатил 6,000¥ за экскурсию по японским замкам.","Я заплатил 6 000 йен за экскурсию по японским замкам."
"Цена за ночлег в гостинице составила 5,000¥.","Цена за ночлег в гостинице составила 5 000 йен."
"Я заплатил 2,500¥ за обед в суши-ресторане.","Я заплатил 2 500 йен за обед в суши-ресторане."
"Я потратил 3,500¥ на билет на экскурсию по Токио.","Я потратил 3 500 йен на билет на экскурсию по Токио."
"Стоимость билетов на экскурсии по Японии составляет 8,000¥.","Стоимость билетов на экскурсии по Японии составляет 8 000 йен."
"Я заплатил 9,000¥ за посещение культурных объектов в Киото.","Я заплатил 9 000 йен за посещение культурных объектов в Киото."
"Стоимость билетов на концерт традиционной японской музыки составила 4,000¥.","Стоимость билетов на концерт традиционной японской музыки составила 4 000 йен."
"Я потратил 5,000¥ на аренду экскаватора для строительства.","Я потратил 5 000 йен на аренду экскаватора для строительства."
"Мой заказ в ресторане японской кухни составил 3,000¥.","Мой заказ в ресторане японской кухни составил 3 000 йен."
"Я заплатил 7,500¥ за билеты в Японский парк.","Я заплатил 7 500 йен за билеты в Японский парк."
"Цены на обед в японском ресторане начинаются от 1,500¥.","Цены на обед в японском ресторане начинаются от 1 500 йен."
"Стоимость поездки на такси из аэропорта составила 2,000¥.","Стоимость поездки на такси из аэропорта составила 2 000 йен."
"Я заплатил 6,000¥ за участие в японском мастер-классе.","Я заплатил 6 000 йен за участие в японском мастер-классе."
"Моя поездка по историческим местам Японии обошлась мне в 15,000¥.","Моя поездка по историческим местам Японии обошлась мне в 15 000 йен."
"Я потратил 4,000¥ на дневную экскурсию по Киото.","Я потратил 4 000 йен на дневную экскурсию по Киото."
"Я заплатил 10,000¥ за аренду лодки на озере.","Я заплатил 10 000 йен за аренду лодки на озере."
"Мои расходы на входные билеты составили 2,000¥.","Мои расходы на входные билеты составили 2 000 йен."
"Я заплатил 3,000¥ за ночной тур по городу.","Я заплатил 3 000 йен за ночной тур по городу."
"Цены на аренду квартиры в Токио начинаются от 6,000¥ в сутки.","Цены на аренду квартиры в Токио начинаются от 6 000 йен в сутки."
"Я заплатил 7,000¥ за прокат спортивного оборудования.","Я заплатил 7 000 йен за прокат спортивного оборудования."
"Стоимость входа в парк аттракционов составила 5,000¥.","Стоимость входа в парк аттракционов составила 5 000 йен."
"Я потратил 3,500¥ на билеты на автобус.","Я потратил 3 500 йен на билеты на автобус."
"Цены на входные билеты в театры Японии начинаются от 1,500¥.","Цены на входные билеты в театры Японии начинаются от 1 500 йен."
"Я заплатил 8,000¥ за экскурсию по замкам Японии.","Я заплатил 8 000 йен за экскурсию по замкам Японии."
"Мои расходы на транспорт составили 2,500¥.","Мои расходы на транспорт составили 2 500 йен."
"Цены на еду в ресторанах Токио составляют 2,000¥ за порцию.","Цены на еду в ресторанах Токио составляют 2 000 йен за порцию."
"Я потратил 4,500¥ на аренду катера для рыбалки.","Я потратил 4 500 йен на аренду катера для рыбалки."
"Стоимость входа в музей составила 1,200¥.","Стоимость входа в музей составила 1 200 йен."
"Я потратил 3,500¥ на покупки в Токио.","Я потратил 3 500 йен на покупки в Токио."
"Цена билета на шоу в Токио была 2,000¥.","Цена билета на шоу в Токио была 2 000 йен."
"Моя аренда автомобиля в Японии составила 5,000¥ в сутки.","Моя аренда автомобиля в Японии составила 5 000 йен в сутки."
"Я заплатил 1,500¥ за билет на автобус.","Я заплатил 1 500 йен за билет на автобус."
"Билеты на концерт стоили 3,000¥.","Билеты на концерт стоили 3 000 йен."
"Я заплатил 7,000¥ за ночь в отеле.","Я заплатил 7 000 йен за ночь в отеле."
"Цена билета на поезд из Киото в Токио составила 5,500¥.","Цена билета на поезд из Киото в Токио составила 5 500 йен."
"Мои расходы на еду составили 2,000¥ за день.","Мои расходы на еду составили 2 000 йен за день."
"Проживание в хостеле стоило 2,500¥ за ночь.","Проживание в хостеле стоило 2 500 йен за ночь."
"Я заплатил 4,000¥ за экскурсию по историческим местам.","Я заплатил 4 000 йен за экскурсию по историческим местам."
"Моя покупка в супермаркете составила 1,000¥.","Моя покупка в супермаркете составила 1 000 йен."
"Стоимость билетов на выставку составила 3,000¥.","Стоимость билетов на выставку составила 3 000 йен."
"Я потратил 6,000¥ на экскурсию по храмам.","Я потратил 6 000 йен на экскурсию по храмам."
"Цены на обед в ресторане Токио начинаются от 1,500¥.","Цены на обед в ресторане Токио начинаются от 1 500 йен."
"Тур по городу обошелся мне в 5,000¥.","Тур по городу обошелся мне в 5 000 йен."
"Я потратил 2,500¥ на ночной клуб.","Я потратил 2 500 йен на ночной клуб."
"Цены на такси в Токио начинаются от 700¥.","Цены на такси в Токио начинаются от 700 йен."
"Я заплатил 4,000¥ за прогулку по реке.","Я заплатил 4 000 йен за прогулку по реке."
"Плата за парковку в центре Токио составила 1,500¥.","Плата за парковку в центре Токио составила 1 500 йен."
"Стоимость билетов на экскурсии по японским островам составила 6,500¥.","Стоимость билетов на экскурсии по японским островам составила 6 500 йен."
"Мой заказ в кафе составил 1,200¥.","Мой заказ в кафе составил 1 200 йен."
"Я заплатил 3,500¥ за поездку в Киото.","Я заплатил 3 500 йен за поездку в Киото."
"Стоимость билетов на электричку из Токио в Осака составила 4,000¥.","Стоимость билетов на электричку из Токио в Осака составила 4 000 йен."
"Я заплатил 2,000¥ за обед в суши-баре.","Я заплатил 2 000 йен за обед в суши-баре."
"Стоимость проживания в отеле Токио составила 7,500¥ за ночь.","Стоимость проживания в отеле Токио составила 7 500 йен за ночь."
"Я заплатил 3,000¥ за билеты на шоу в Токио.","Я заплатил 3 000 йен за билеты на шоу в Токио."
"Цены на экскурсии по японским храмам составляют 1,500¥.","Цены на экскурсии по японским храмам составляют 1 500 йен."
"Я потратил 5,000¥ на билеты в парк аттракционов.","Я потратил 5 000 йен на билеты в парк аттракционов."
"Плата за аренду велосипеда в Киото составила 1,000¥.","Плата за аренду велосипеда в Киото составила 1 000 йен."
"Я заплатил 3,500¥ за покупку билетов на поезд в Токио.","Я заплатил 3 500 йен за покупку билетов на поезд в Токио."
"Стоимость входа в аквариум составила 2,000¥.","Стоимость входа в аквариум составила 2 000 йен."
"Я заплатил 4,500¥ за аренду комнаты в хостеле.","Я заплатил 4 500 йен за аренду комнаты в хостеле."
"Билеты на кино стоили 1,500¥.","Билеты на кино стоили 1 500 йен."
"Я потратил 2,000¥ на такси по городу.","Я потратил 2 000 йен на такси по городу."
"Я заплатил 6,000¥ за билет в токийский аквариум.","Я заплатил 6 000 йен за билет в токийский аквариум."
"Цены на такси в Токио начинаются от 1,200¥.","Цены на такси в Токио начинаются от 1 200 йен."
"Мой заказ на ужин составил 3,000¥.","Мой заказ на ужин составил 3 000 йен."
"Я потратил 5,500¥ на обед в японском ресторане.","Я потратил 5 500 йен на обед в японском ресторане."
"Плата за посещение музея составила 2,500¥.","Плата за посещение музея составила 2 500 йен."
"Стоимость продуктов на неделю составила 6,000¥.","Стоимость продуктов на неделю составила 6 000 йен."
"Я потратил 4,000¥ на обед в ресторане на пляже.","Я потратил 4 000 йен на обед в ресторане на пляже."
"Цены на билет в парк аттракционов составляют 5,000¥.","Цены на билет в парк аттракционов составляют 5 000 йен."
"Я заплатил 2,000¥ за поездку на канатной дороге.","Я заплатил 2 000 йен за поездку на канатной дороге."
"Цена билетов на экскурсии по Японии составила 4,500¥.","Цена билетов на экскурсии по Японии составила 4 500 йен."
"Я заплатил 6,000¥ за экскурсию по музеям в Осака.","Я заплатил 6 000 йен за экскурсию по музеям в Осака."
"Я потратил 3,000¥ на покупку сувениров.","Я потратил 3 000 йен на покупку сувениров."
"Цена входного билета в Токийский музей искусств составила 2,500¥.","Цена входного билета в Токийский музей искусств составила 2 500 йен."
"Мой обед в кафе обошелся мне в 1,500¥.","Мой обед в кафе обошелся мне в 1 500 йен."
"Я заплатил 3,000¥ за экскурсию на японский остров.","Я заплатил 3 000 йен за экскурсию на японский остров."
"Стоимость за аренду мобильного телефона в Японии составила 2,000¥.","Стоимость за аренду мобильного телефона в Японии составила 2 000 йен."
"Я потратил 5,500¥ на экскурсии по историческим местам.","Я потратил 5 500 йен на экскурсии по историческим местам."
"Цены на входные билеты в японские замки составляют 3,000¥.","Цены на входные билеты в японские замки составляют 3 000 йен."
"Стоимость билетов на автобусный тур по Киото составила 2,500¥.","Стоимость билетов на автобусный тур по Киото составила 2 500 йен."
"Я потратил 7,000¥ на покупки в Токио.","Я потратил 7 000 йен на покупки в Токио."
"Я заплатил 1,200¥ за посещение музея современного искусства.","Я заплатил 1 200 йен за посещение музея современного искусства."
"Цена билета в Токийский зоопарк составила 2,000¥.","Цена билета в Токийский зоопарк составила 2 000 йен."
"Мой заказ в ресторане стоил 3,500¥.","Мой заказ в ресторане стоил 3 500 йен."
"Тур по достопримечательностям обошелся мне в 5,000¥.","Тур по достопримечательностям обошелся мне в 5 000 йен."
"Я заплатил 3,000¥ за билет на концерт.","Я заплатил 3 000 йен за билет на концерт."
"Проживание в хостеле стоило 2,500¥ за ночь.","Проживание в хостеле стоило 2 500 йен за ночь."
"Сумма моего счета за обед составила 2,000¥.","Сумма моего счета за обед составила 2 000 йен."
"Билет в театр стоил 4,000¥.","Билет в театр стоил 4 000 йен."
"Я купил несколько сувениров за 1,500¥.","Я купил несколько сувениров за 1 500 йен."
"Плата за посещение древнего храма составила 1,200¥.","Плата за посещение древнего храма составила 1 200 йен."
"За аренду автомобиля в Токио я заплатил 7,000¥.","За аренду автомобиля в Токио я заплатил 7 000 йен."
"Стоимость проезда на поезде из Осаки в Киото составила 2,000¥.","Стоимость проезда на поезде из Осаки в Киото составила 2 000 йен."
"Я потратил 6,000¥ на сувениры.","Я потратил 6 000 йен на сувениры."
"Цена билета на корабль в Токио составляет 3,000¥.","Цена билета на корабль в Токио составляет 3 000 йен."
"Стоимость поездки в такси по городу обошлась мне в 1,500¥.","Стоимость поездки в такси по городу обошлась мне в 1 500 йен."
"Я заплатил 2,500¥ за вход в аквариум.","Я заплатил 2 500 йен за вход в аквариум."
"Мой заказ на ужин в ресторане составил 4,500¥.","Мой заказ на ужин в ресторане составил 4 500 йен."
"За проезд на автобусе я заплатил 400¥.","За проезд на автобусе я заплатил 400 йен."
"Моя покупка в японском супермаркете составила 3,000¥.","Моя покупка в японском супермаркете составила 3 000 йен."
"Билет на поезд по Японии стоил 6,000¥.","Билет на поезд по Японии стоил 6 000 йен."
"Цены на такси в Токио начинаются от 700¥.","Цены на такси в Токио начинаются от 700 йен."
"Я заплатил 5,000¥ за два билета на выставку.","Я заплатил 5 000 йен за два билета на выставку."
"Плата за ночной клуб составила 2,000¥ за вход.","Плата за ночной клуб составила 2 000 йен за вход."
"Стоимость экскурсии по Киото составила 8,000¥.","Стоимость экскурсии по Киото составила 8 000 йен."
"Мои расходы на транспорт по Японии составили 10,000¥.","Мои расходы на транспорт по Японии составили 10 000 йен."
"Я потратил 1,500¥ на покупки в Токио.","Я потратил 1 500 йен на покупки в Токио."
"Сумма за аренду велосипеда в Киото составила 1,000¥.","Сумма за аренду велосипеда в Киото составила 1 000 йен."
"Стоимость тура по храмам Японии составила 4,000¥.","Стоимость тура по храмам Японии составила 4 000 йен."
"Я потратил 7,000¥ на билет на флотский экскурсионный корабль.","Я потратил 7 000 йен на билет на флотский экскурсионный корабль."
"Для того чтобы попасть на традиционное японское представление, мне пришлось заплатить 3,000¥.","Для того чтобы попасть на традиционное японское представление, мне пришлось заплатить 3 000 йен."
"Стоимость билетов на автобусный тур по городу составила 1,200¥.","Стоимость билетов на автобусный тур по городу составила 1 200 йен."
