"question","answer","measure"
"Алёна в последнюю с успевает его окликнуть, и тот падает на проезжую ч., оставаясь в живых.","Алёна в последнюю секунду успевает его окликнуть, и тот падает на проезжую часть, оставаясь в живых.","measure"
"Пионерами исследований в этой области науки были Александр Яблонский, Грегорио Вб и Андреас Альбрехт.","Пионерами исследований в этой области науки были Александр Яблонский, Грегорио Вебер и Андреас Альбрехт.","measure"
"Расстояние до районного центра Торопец составляет 5 км.","Расстояние до районного центра Торопец составляет 5 километров.","measure"
"д. находится на восточном берегу Заликовского озера в 1 км от автодороги Торопец — Речане.","Деревня находится на восточном берегу Заликовского озера в 1 километре от автодороги Торопец — Речане.","measure"
"дл. пляжа составляет ок. 300 м, шир. — 10—20 м.","Длина пляжа составляет около 300 метров, ширина — 10—20 метров.","measure"
"Температура воды летом варьирует от 0 до 14 °, в более теплой воде тритоны не встречались.","Температура воды летом варьирует от 0 до 14 градусов, в более теплой воде тритоны не встречались.","measure"
"За средневековым войском численностью неск. тыс. чел. тянулся на мн. десятки км обоз в неск. тыс. повозок и тысячные гурты скота.","За средневековым войском численностью несколько тысяч человек тянулся на многие десятки километров обоз в несколько тысяч повозок и тысячные гурты скота.","measure"
"д. расположена в 27 км от Дзержинска, 40 км от Минска и 27 км от железнодорожной станции Койданово.","Деревня расположена в 27 километрах от Дзержинска, 40 километрах от Минска и 27 километрах от железнодорожной станции Койданово.","measure"
"Содержание кофеина на 100 мл составляет 30 мг.","Содержание кофеина на 100 миллилитров составляет 30 миллиграмм.","measure"
"Западнее населённого пункта находится лесной массив, в котором расположен холм Кельбергер (Kälberger) высотой 363 м.","Западнее населённого пункта находится лесной массив, в котором расположен холм Кельбергер (Kälberger) высотой 363 метров.","measure"
"Абсолютный максимум — 40 °.","Абсолютный максимум — 40 градусов.","measure"
"выс. 1192 м.","Высота 1192 метра.","measure"
"Истоки реки находятся у села Бышево на высоте 190 м над уровнем моря.","Истоки реки находятся у села Бышево на высоте 190 метров над уровнем моря.","measure"
"Через неск. км р. снова поворачивает на с.","Через несколько километров река снова поворачивает на север.","measure"
"Налетали над Африкой сотни км, «отметились» в десятках аэропортов».","Налетали над Африкой сотни километров, «отметились» в десятках аэропортов».","measure"
"Сохранившаяся невысокая (8 м) круглая воротная башня (башня Ларса Торстенссона или Пугачевская) располагалась напротив моста, соединявшего Старую крепость со Спасским островом.","Сохранившаяся невысокая (8 метров) круглая воротная башня (башня Ларса Торстенссона или Пугачевская) располагалась напротив моста, соединявшего Старую крепость со Спасским островом.","measure"
"Стены башни очень толстые (4 м в нижнем ярусе), что свидетельствует о т., что ко времени строительства огнестрельная фортификация была уже весьма развита.","Стены башни очень толстые (4 метра в нижнем ярусе), что свидетельствует о том, что ко времени строительства огнестрельная фортификация была уже весьма развита.","measure"
"Арочный вход в него ведёт со двора крепости вниз по каменным ступеням сквозь стену толщиной до 5 м.","Арочный вход в него ведёт со двора крепости вниз по каменным ступеням сквозь стену толщиной до 5 метров.","measure"
"1-я гвардейская танковая армия прошла боевой путь от Курска до Берлина протяжённостью три тыс. км.","1-я гвардейская танковая армия прошла боевой путь от Курска до Берлина протяжённостью три тысячи километров.","measure"
"Её дл. составляла 3,76 м, диаметр — 1,32 м.","Её длина составляла 3,76 метра, диаметр — 1,32 метра.","measure"
"Полностью снаряженная, бомба весила 4840 кг.","Полностью снаряженная, бомба весила 4840 килограммов.","measure"
"При детонации на оптимальной высоте, бомба B41Y1 образовала бы огненный шар диаметром в 6,4 км.","При детонации на оптимальной высоте, бомба B41Y1 образовала бы огненный шар диаметром в 6,4 километра.","measure"
"Световая и тепловая волна были бы в состоянии вызвать пожары легковоспламеняющихся материалов на расстоянии в 50 км от эпицентра.","Световая и тепловая волна были бы в состоянии вызвать пожары легковоспламеняющихся материалов на расстоянии в 50 километров от эпицентра.","measure"
"Троицко-Печорск расположен в пределах Печорской низменности, являющейся частью Восточно-Европейской равнины, на левом берегу реки Печора при впадении реки сев. Мылва, на высоте 124 м над уровнем моря.","Троицко-Печорск расположен в пределах Печорской низменности, являющейся частью Восточно-Европейской равнины, на левом берегу реки Печора при впадении реки Северная Мылва, на высоте 124 метра над уровнем моря.","measure"
"Улица Па́гари (эст. Pagari tänav — «Пекарская улица»), в конце XIX — начале XX вв. Бу́лочная улица (нем. Bäckerstraße) — короткая (75 м) улица в историческом районе Старый город Таллина (Эстония), соединяет улицы Пикк и Лай.","Улица Па́гари (эст. Pagari tänav — «Пекарская улица»), в конце XIX — начале XX века Бу́лочная улица (нем. Bäckerstraße) — короткая (75 метров) улица в историческом районе Старый город Таллина (Эстония), соединяет улицы Пикк и Лай.","measure"
"стр-во наружных тепловых сетей от Кировской ТЭЦ-3 началось в 1950-х гг, первая теплотрасса длиной 2,6 км обеспечивала теплом первый гор. р-н Балезино.","Строительство наружных тепловых сетей от Кировской ТЭЦ-3 началось в 1950-х годах, первая теплотрасса длиной 2,6 километра обеспечивала теплом первый городской район Балезино.","measure"
"Поэтому пост. времени детекторов выбрана относительно долгой, порядка нескольких десятков мс.","Поэтому постоянная времени детекторов выбрана относительно долгой, порядка нескольких десятков миллисекунд.","measure"
"Уже после своего образования из Кемы и Лундонги Унжа довольно широка, а после впадения Куножа и Виги р. расширяется до 60 м.","Уже после своего образования из Кемы и Лундонги Унжа довольно широка, а после впадения Куножа и Виги река расширяется до 60 метров.","measure"
"На последних 20 км р. расширяется настолько, что чаще об этом участке говорят, как об Унженском заливе Горьковского водохранилища.","На последних 20 километрах река расширяется настолько, что чаще об этом участке говорят, как об Унженском заливе Горьковского водохранилища.","measure"
"шир. у устья — 7 м.","Ширина у устья — 7 метров.","measure"
"Сын Филипа Н Спейра, полицейского Лондонского Сити, к-рый ушёл в отставку после 25 лет службы, и Элизы Энн Аделаиды Осман.","Сын Филипа Ньютона Спейра, полицейского Лондонского Сити, который ушёл в отставку после 25 лет службы, и Элизы Энн Аделаиды Осман.","measure"
"Тим Тури в обзоре для Game Informer отметил, что игрок может установить в настройках ограничение в 30 кадров в с, как и в оригинале, но посчитал, что такой опцией может воспользоваться только «сумасшедший».","Тим Тури в обзоре для Game Informer отметил, что игрок может установить в настройках ограничение в 30 кадров в секунду, как и в оригинале, но посчитал, что такой опцией может воспользоваться только «сумасшедший».","measure"
"Ныне располагается на высоте 296,5 м над уровнем моря.","Ныне располагается на высоте 296,5 метра над уровнем моря.","measure"
"с. находится на высоте 24 м над уровнем моря.","Село находится на высоте 24 метров над уровнем моря.","measure"
"Мы зовем это сущное лм.","Мы зовем это сущное Люменом.","measure"
"Авиалайнер Fokker F28-4000 Fellowship авиакомпании USAir выполнял плановый внутр. рейс AWE 405 по маршруту Джэксонвилл—Нью-Йорк—Кливленд, но уже через 17 с после вылета из Нью-Йорка рухнул в зал. Флашинг в 7 м от ВПП и полностью разрушился.","Авиалайнер Fokker F28-4000 Fellowship авиакомпании USAir выполнял плановый внутренний рейс AWE 405 по маршруту Джэксонвилл—Нью-Йорк—Кливленд, но уже через 17 секунд после вылета из Нью-Йорка рухнул в залив Флашинг в 7 метрах от ВПП и полностью разрушился.","measure"
"На Играх в Лондоне выиграл бронзовую медаль в качестве члена экипажа шведского парусника Али-Баба II в классе 6 м.","На Играх в Лондоне выиграл бронзовую медаль в качестве члена экипажа шведского парусника Али-Баба II в классе 6 метров.","measure"
"Удалён на 7,4 угловых с.","Удалён на 7,4 угловых секунд.","measure"
"Растение из Северной Америки высотой до одного м; ягоды красноватые.","Растение из Северной Америки высотой до одного метра; ягоды красноватые.","measure"
"Морозостойкий листопадный кустарник высотой до одного м со стеблем, к-рый, в отличие от черники, древеснеет почти доверху.","Морозостойкий листопадный кустарник высотой до одного метра со стеблем, который, в отличие от черники, древеснеет почти доверху.","measure"
"* — в скобках указаны тысячные доли с","* — в скобках указаны тысячные доли секунды","measure"
"Тубероза имеет вытянутые стебли длиной до 45 см, которые оканчиваются кистями ароматных белых цветов.","Тубероза имеет вытянутые стебли длиной до 45 сантиметров, которые оканчиваются кистями ароматных белых цветов.","measure"
"Добывают экстракт путём гексановой экстракции, при этом для добычи одного л масла туберозы необходимо использовать примерно одну тонну цветов.","Добывают экстракт путём гексановой экстракции, при этом для добычи одного литра масла туберозы необходимо использовать примерно одну тонну цветов.","measure"
"выс. здания составляет 75 м.","Высота здания составляет 75 метров.","measure"
"Если при дележе 1-3 места эти параметры одинаковы, то проводится тай-брейк по системе Леманна-Георгиева (15 минут + 2 с за ход для неограниченного количества игр).","Если при дележе 1-3 места эти параметры одинаковы, то проводится тай-брейк по системе Леманна-Георгиева (15 минут + 2 секунды за ход для неограниченного количества игр).","measure"
"Если на 1-3 место претендует больше трёх игроков, то проводится между ними проводится круговой турнир по системе Леманна-Георгиева (10 минут + 2 с).","Если на 1-3 место претендует больше трёх игроков, то проводится между ними проводится круговой турнир по системе Леманна-Георгиева (10 минут + 2 секунды).","measure"
"Доспех — это живое человекоподобное существо, ростом в неск. м, внешне напоминающее рыцарский доспех или робота (меха).","Доспех — это живое человекоподобное существо, ростом в несколько метров, внешне напоминающее рыцарский доспех или робота (меха).","measure"
"Находится примерно в 28 км по прямой на юг-юго-запад от районного центра поселка Шушенское.","Находится примерно в 28 километрах по прямой на юг-юго-запад от районного центра поселка Шушенское.","measure"
"центр. ч. населённого пункта расположена на высоте 147 м над уровнем моря.","Центральная часть населённого пункта расположена на высоте 147 метров над уровнем моря.","measure"
"Находится в 60 км от города Кракова, расположен на территории Освенцимской гмины Освенцимского повята.","Находится в 60 километрах от города Кракова, расположен на территории Освенцимской гмины Освенцимского повята.","measure"
"Протянулся на 3600 м, от Соборной площади до проходных «Пермского моторостроительного комплекса».","Протянулся на 3600 метров, от Соборной площади до проходных «Пермского моторостроительного комплекса».","measure"
"Расположен в 300 км юго-западнее Мехико.","Расположен в 300 километрах юго-западнее Мехико.","measure"
"За один свой ход игрок может или передвинуть одну из своих фигур на одну клетку в любую сторону или по диагонали, или повернуть на 90 °.","За один свой ход игрок может или передвинуть одну из своих фигур на одну клетку в любую сторону или по диагонали, или повернуть на 90 градусов.","measure"
"Не может двигаться, но может вращаться на 90 °.","Не может двигаться, но может вращаться на 90 градусов.","measure"
"129-й истребительный авиационный полк сформирован на самолётах И-153 на базе 123-го истребительного авиационного полка на аэродроме Балбасово в 15 км юго-западнее Орши Белорусского Особого военного округа.","129-й истребительный авиационный полк сформирован на самолётах И-153 на базе 123-го истребительного авиационного полка на аэродроме Балбасово в 15 километрах юго-западнее Орши Белорусского Особого военного округа.","measure"
"Под землёй проходит почти весь маршрут, за исключением станции Огисава, где 300 м до тоннеля проходят на открытой местности.","Под землёй проходит почти весь маршрут, за исключением станции Огисава, где 300 метров до тоннеля проходят на открытой местности.","measure"
"Самцы летают преимущественно вокруг близлежащих деревьев на значительной высоте до 20 м, проявляя наибольшую активность во второй половине дня.","Самцы летают преимущественно вокруг близлежащих деревьев на значительной высоте до 20 метров, проявляя наибольшую активность во второй половине дня.","measure"
"Абсолютная выс. — 1814 м над уровнем моря.","Абсолютная высота — 1814 метров над уровнем моря.","measure"
"Райхоупский Лес является древней лесной страной, возникшей после последнего ледникового периода и не тронутой цивилизацией; снаружи он кажется лесным массивом не больше пяти квадратных км.","Райхоупский Лес является древней лесной страной, возникшей после последнего ледникового периода и не тронутой цивилизацией; снаружи он кажется лесным массивом не больше пяти квадратных километров.","measure"
"д. расположена на расстоянии примерно 25 км по прямой на юг-юго-запад от села Елово.","Деревня расположена на расстоянии примерно 25 километров по прямой на юг-юго-запад от села Елово.","measure"
"выс. над уровнем моря — 13 м.","Высота над уровнем моря — 13 метров.","measure"
"Абсолютная выс. — 2144 м над уровнем моря.","Абсолютная высота — 2144 метра над уровнем моря.","measure"
"Обитают в морской и солоноватой воде, на глубине 10-30 м.","Обитают в морской и солоноватой воде, на глубине 10-30 метров.","measure"
"Абсолютная выс. — 24 м ниже уровня моря","Абсолютная высота — 24 метра ниже уровня моря","measure"
"Совершил первый одиночный переход на вёслах через Тихий океан на судне «Hele on Britania» длиной 9.7 м.","Совершил первый одиночный переход на вёслах через Тихий океан на судне «Hele on Britania» длиной 9.7 метра.","measure"
"Затратил 294 дня и прошёл 14480 км.","Затратил 294 дня и прошёл 14480 километров.","measure"
"пл. 89,566 квадратных км.","Площадь 89,566 квадратных километров.","measure"
"Ближайшие населённые пункты ок. 2 км на в. — Никольское севернее и Орешки — южнее.","Ближайшие населённые пункты около 2 километров на восток — Никольское севернее и Орешки — южнее.","measure"
"По линии передачи установлены опоры для высоковольтной линии на протяжении семи км, заготовлены опоры на всю высоковольтную сеть.","По линии передачи установлены опоры для высоковольтной линии на протяжении семи километров, заготовлены опоры на всю высоковольтную сеть.","measure"
"Находится в юго-восточной части района на расстоянии примерно 22 км (по прямой) на ю. от города Шилка.","Находится в юго-восточной части района на расстоянии примерно 22 километров (по прямой) на юг от города Шилка.","measure"
"Высказывается предположение, что практически весь лесной фонд европейской части России, плюс ч. леса за Уралом, примерно до Тюмени, разбита на верстовую квартальную сеть (шир. квартала ок. 1067 м (1 путевая верста)).","Высказывается предположение, что практически весь лесной фонд европейской части России, плюс часть леса за Уралом, примерно до Тюмени, разбита на верстовую квартальную сеть (ширина квартала около 1067 метров (1 путевая верста)).","measure"
"На указательном столбе вырубается дополнит. окно, на котором надписывается расстояние от начала промера: в числителе — км, в знаменателе — м.","На указательном столбе вырубается дополнительное окно, на котором надписывается расстояние от начала промера: в числителе — километры, в знаменателе — метры.","measure"
"Эта фаза длится 60—90 с.","Эта фаза длится 60—90 секунд.","measure"
"Эта рукотворная стена простиралась на 120 м в длину, а в высоту достигала 8 м.","Эта рукотворная стена простиралась на 120 метров в длину, а в высоту достигала 8 метров.","measure"
"Из 1 кг красителя-сырца после выпаривания оставалось всего 60 г красящего вещества.","Из 1 килограмма красителя-сырца после выпаривания оставалось всего 60 граммов красящего вещества.","measure"
"Так, в Риме во времена правления императора Августа кг шерсти, дважды окрашенной в пурпурный цвет, стоил 2 тыс. денариев, а при императоре Диоклетиане в 301 г н. э. его цена поднялась до 50 тыс. денариев.","Так, в Риме во времена правления императора Августа килограмм шерсти, дважды окрашенной в пурпурный цвет, стоил 2 тысячи денариев, а при императоре Диоклетиане в 301 году н. э. его цена поднялась до 50 тысяч денариев.","measure"
"Температура поверхности достигает 5767 К.","Температура поверхности достигает 5767 кельвинов.","measure"
"Эти опоры поддерживают полотно дороги 88 канатами длиной от 25 до 145 м, по 11 на каждой стороне каждого из 4 столбов.","Эти опоры поддерживают полотно дороги 88 канатами длиной от 25 до 145 метров, по 11 на каждой стороне каждого из 4 столбов.","measure"
"Находится д. в 18 км от Дзержинска, 53 км от Минска, 17 км от железнодорожной станции Койданово.","Находится деревня в 18 километрах от Дзержинска, 53 километрах от Минска, 17 километрах от железнодорожной станции Койданово.","measure"
"д. вел. с. впервые упоминается в 1589 г как д. в составе имения Старинки, принадлежавшего княжескому роду Радзивиллов и располагавшегося в юго-западной части Минского повета Минского воеводства в нескольких км на западе от местечка Койданово и в нескольких км на севере от местечка Рубежевичи.","Деревня Великое Село впервые упоминается в 1589 году как деревня в составе имения Старинки, принадлежавшего княжескому роду Радзивиллов и располагавшегося в юго-западной части Минского повета Минского воеводства в нескольких километрах на западе от местечка Койданово и в нескольких километрах на севере от местечка Рубежевичи.","measure"
"Невысокий травянистый кустарник до 1 м высоты.","Невысокий травянистый кустарник до 1 метра высоты.","measure"
"пл. общины 647,387 квадратного км.","Площадь общины 647,387 квадратного километра.","measure"
"Находится на расстоянии примерно 29 км по прямой на ю. от районного центра города Советск.","Находится на расстоянии примерно 29 километров по прямой на юг от районного центра города Советск.","measure"
"Авария Императорского поезда произошла 17 октября 1888 года в 14 часов 14 минут на 295-м км линии Курск — Харьков — Азов южнее Харькова.","Авария Императорского поезда произошла 17 октября 1888 года в 14 часов 14 минут на 295-м километре линии Курск — Харьков — Азов южнее Харькова.","measure"
"дл. пути проходящего света при капиллярном электрофорезе составляет порядка 50 мкм, что намного меньше, чем в случае обычных ультрафиолетовых ячеек, в которых дл. пути света порядка 1 см.","Длина пути проходящего света при капиллярном электрофорезе составляет порядка 50 микрометров, что намного меньше, чем в случае обычных ультрафиолетовых ячеек, в которых длина пути света порядка 1 сантиметра.","measure"
"Выступала за сборные СССР, СНГ и Казахстана по лёгкой атлетике во второй половине 1980-х — первой половине 1990-х годов, чемпионка СССР в беге на 10 000 м и кроссе, действующая рекордсменка Казахстана в нескольких дисциплинах, участница ряда крупных международных стартов.","Выступала за сборные СССР, СНГ и Казахстана по лёгкой атлетике во второй половине 1980-х — первой половине 1990-х годов, чемпионка СССР в беге на 10 000 метров и кроссе, действующая рекордсменка Казахстана в нескольких дисциплинах, участница ряда крупных международных стартов.","measure"
"Впервые заявила о себе на всесоюзном уровне в сезоне 1983 года, когда в беге на 3000 м стала седьмой на Мемориале братьев Знаменских в Москве и четвёртой на чемпионате страны в рамках VIII летней Спартакиады народов СССР в Москве.","Впервые заявила о себе на всесоюзном уровне в сезоне 1983 года, когда в беге на 3000 метров стала седьмой на Мемориале братьев Знаменских в Москве и четвёртой на чемпионате страны в рамках VIII летней Спартакиады народов СССР в Москве.","measure"
"На чемпионате СССР в Горьком превзошла всех соперниц в беге на 10 000 м, в той же дисциплине финишировала четвёртой на Кубке Европы в Гейтсхеде и третьей на Кубке мира в Барселоне.","На чемпионате СССР в Горьком превзошла всех соперниц в беге на 10 000 метров, в той же дисциплине финишировала четвёртой на Кубке Европы в Гейтсхеде и третьей на Кубке мира в Барселоне.","measure"
"Впервые заявила о себе в сезоне 1995 года, когда выступила на молодёжном чемпионате мира в Японии и заняла восьмое место в четвёрках на пятистах м.","Впервые заявила о себе в сезоне 1995 года, когда выступила на молодёжном чемпионате мира в Японии и заняла восьмое место в четвёрках на пятистах метрах.","measure"
"До 1984 года страна называлась «Верхняя В», что было обусловлено гидронимами её важнейших рек: Белая В и Чёрная В при слиянии образуют реку В.","До 1984 года страна называлась «Верхняя Вольта», что было обусловлено гидронимами её важнейших рек: Белая Вольта и Чёрная Вольта при слиянии образуют реку Вольта.","measure"
"Речная сеть — ок. 20 рек; наиб. значительные из них — Чёрная В и Белая В.","Речная сеть — около 20 рек; наиболее значительные из них — Чёрная Вольта и Белая Вольта.","measure"
"С 1904 по 1919 г Верхняя В входила во французскую колонию верх. Сенегал — Нигер, затем была выделена в отдельную колонию.","С 1904 по 1919 год Верхняя Вольта входила во французскую колонию Верхний Сенегал — Нигер, затем была выделена в отдельную колонию.","measure"
"С 1947 года по 1958 г франц. Верхняя В была заморской территорией Франции, затем была образована авт. респ. Верхняя В в составе Французского сообщества.","С 1947 года по 1958 год Французская Верхняя Вольта была заморской территорией Франции, затем была образована автономная Республика Верхняя Вольта в составе Французского сообщества.","measure"
"5 августа 1960 года Ямеого провозгласил независимость гос-ва Верхняя В и стал её президентом.","5 августа 1960 года Ямеого провозгласил независимость государства Верхняя Вольта и стал её президентом.","measure"
"11 дек. — нац. День или День Республики (годовщина образования автономной Республики Верхняя В в рамках Французского Сообщества, 1958)","11 декабря — Национальный День или День Республики (годовщина образования автономной Республики Верхняя Вольта в рамках Французского Сообщества, 1958)","measure"
"Эстафета 4×100 м — (42,7);","Эстафета 4×100 метров — (42,7);","measure"
"Эстафета 4×100 м — (42,6);","Эстафета 4×100 метров — (42,6);","measure"
"Данный вид подразумевает выполнение человеком упражнения в статичном положении, то есть удержании тела в определённой позе на продолжительное время от 15 до 60 с.","Данный вид подразумевает выполнение человеком упражнения в статичном положении, то есть удержании тела в определённой позе на продолжительное время от 15 до 60 секунд.","measure"
"Находилось в лесистом ландшафте, на высоте ок. 700 м над уровнем моря.","Находилось в лесистом ландшафте, на высоте около 700 метров над уровнем моря.","measure"
"Артиллерийское вооружение лидеров типа «Скотт» состояло из пяти 120-мм орудий в установках CP VI, имевших угол возвышения 30 °.","Артиллерийское вооружение лидеров типа «Скотт» состояло из пяти 120-мм орудий в установках CP VI, имевших угол возвышения 30 градусов.","measure"
"Достигается скорость счета до 10 000 клеток в с, а типичный анализ импеданса может быть проведен менее чем за минуту.","Достигается скорость счета до 10 000 клеток в секунду, а типичный анализ импеданса может быть проведен менее чем за минуту.","measure"
"выс. центра населённого пункта — ок. 115 м над уровнем моря.","Высота центра населённого пункта — около 115 метров над уровнем моря.","measure"
"дл. 420 км.","Длина 420 километров.","measure"
"Когда Ан-12 был в 100 км от аэропорта, диспетчер разрешил снижаться до высоты 4500 м.","Когда Ан-12 был в 100 километрах от аэропорта, диспетчер разрешил снижаться до высоты 4500 метров.","measure"
"Проходя высоту 800—900 м, в 02:35:30 экипаж сообщил о сильном обледенении, а спустя почти минуту — об очень сильном обледенении.","Проходя высоту 800—900 метров, в 02:35:30 экипаж сообщил о сильном обледенении, а спустя почти минуту — об очень сильном обледенении.","measure"
"Но за 10—15 с до завершения данного разворота самолёт начал вести себя ненормально, поэтому в 02:40:25 в кабине кто-то произнёс: «что-то двигатели потряхивать стали».","Но за 10—15 секунд до завершения данного разворота самолёт начал вести себя ненормально, поэтому в 02:40:25 в кабине кто-то произнёс: «что-то двигатели потряхивать стали».","measure"
"Когда Ан-12 после выполнения третьего разворота вышел из левого крена, то через пару с он сам опять вошёл в небольшой левый крен.","Когда Ан-12 после выполнения третьего разворота вышел из левого крена, то через пару секунд он сам опять вошёл в небольшой левый крен.","measure"
"Усадьба Грибаново расположена в деревне Грибаново, моск. область, в 25 км от посёлка Лотошино.","Усадьба Грибаново расположена в деревне Грибаново, Московская область, в 25 километрах от посёлка Лотошино.","measure"
"Это русло имело неск. сотен м ширины и ок. м глубины и больше напоминало грязный овраг.","Это русло имело несколько сотен метров ширины и около метра глубины и больше напоминало грязный овраг.","measure"
"Между лонжеронами в крыле размещались топливные баки общей вместимостью 2592 л.","Между лонжеронами в крыле размещались топливные баки общей вместимостью 2592 литра.","measure"
"Два бака емкостью по 882 л находились в центроплане и по одному баку емкостью 414 л в каждой консоли крыла.","Два бака емкостью по 882 литра находились в центроплане и по одному баку емкостью 414 литров в каждой консоли крыла.","measure"
"Для выполнения дальних перелетов был предусмотрен дополнит. бак емкостью 627 л.","Для выполнения дальних перелетов был предусмотрен дополнительный бак емкостью 627 литров.","measure"
"Приз с — Александр Семак (2000—2001), Александр Радулов (2010—2011)","Приз секунда — Александр Семак (2000—2001), Александр Радулов (2010—2011)","measure"
